,,,,,,,,,,,,,,
LAPORAN INVENTARIS OUTLET  TAHUN 2026,,,,,,,,,,,,,,
PT GADAI SEJAHTERA INDONESIA,,,,,,,,,,,,,,
ALL OUTLET ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DAFTAR ASSET/INVENTARIS  ,,,,,,,,,,,,,,
No.,KODE ASET,KATEGORI,NAMA BARANG,KETERANGAN SPESIFIK BARANG,JUMLAH,HARGA PEROLEHAN / UNIT,TOTAL PEROLEHAN,WAKTU PEROLEHAN,LOKASI, KONDISI, MASA MANFAAT (TH),,,BEBAN PENYUSUTAN
152,,,,,,, Rp - ,,TR,,,,,0
153,,,,,,, Rp - ,,TR,,,,,0
154,,,,,,, Rp - ,,TR,,,,,0
155,INV-KP/ATK/013,ATK,,BINDEX HIJAU BESAR 6,1,"20,000"," Rp 20,000 ",,KP,,,,,0
156,INV-KP/ATK/014,ATK,,BINDEX HIJAU BESAR 7,1,"20,000"," Rp 20,000 ",,KP,,,,,0
157,INV-KP/ATK/015,ATK,,BINDEX HIJAU BESAR 8,1,"20,000"," Rp 20,000 ",,KP,,,,,0
158,INV-KP/ATK/016,ATK,,BINDEX HITAM BESAR 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
159,INV-KP/ATK/017,ATK,,BINDEX HITAM BESAR 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
160,INV-KP/ATK/018,ATK,,BINDEX HITAM BESAR 3,1,"20,000"," Rp 20,000 ",,KP,,,,,0
161,INV-KP/ATK/019,ATK,,BINDEX HITAM BESAR 4,1,"20,000"," Rp 20,000 ",,KP,,,,,0
162,INV-KP/ATK/020,ATK,,BINDEX HITAM BESAR 5,1,"20,000"," Rp 20,000 ",,KP,,,,,0
163,INV-KP/ATK/021,ATK,,BINDEX HITAM BESAR 6,1,"20,000"," Rp 20,000 ",,KP,,,,,0
164,INV-KP/ATK/022,ATK,,BINDEX HITAM BESAR 7,1,"20,000"," Rp 20,000 ",,KP,,,,,0
165,INV-KP/ATK/023,ATK,,BINDEX HITAM BESAR 8,1,"20,000"," Rp 20,000 ",,KP,,,,,0
166,INV-KP/ATK/024,ATK,,BINDEX HITAM BESAR 9,1,"20,000"," Rp 20,000 ",,KP,,,,,0
167,INV-KP/ATK/025,ATK,,BINDEX HITAM BESAR 10,1,"20,000"," Rp 20,000 ",,KP,,,,,0
168,INV-KP/ATK/026,ATK,,BINDEX HITAM BESAR 11,1,"20,000"," Rp 20,000 ",,KP,,,,,0
169,INV-KP/ATK/027,ATK,,BINDEX HITAM BESAR 12,1,"20,000"," Rp 20,000 ",,KP,,,,,0
170,INV-KP/ATK/028,ATK,,BINDEX HITAM BESAR 13,1,"20,000"," Rp 20,000 ",,KP,,,,,0
171,INV-KP/ATK/029,ATK,,BINDEX HITAM BESAR 14,1,"20,000"," Rp 20,000 ",,KP,,,,,0
172,INV-KP/ATK/030,ATK,,BINDEX HITAM BESAR 15,1,"20,000"," Rp 20,000 ",,KP,,,,,0
173,INV-KP/ATK/031,ATK,,BINDEX HITAM BESAR 16,1,"20,000"," Rp 20,000 ",,KP,,,,,0
